Item #,Supplier Part Number 1,Manufacturer 1,Manufacturer Part Number 1,Designator,Qty,Description,Value,Supplier 1,Supplier Unit Price 1,Supplier Subtotal 1,For 17,Have,Order
32,RMCF0805JT1M00CT-ND,Stackpole Electronics Inc,RMCF0805JT1M00,R65,1,Resistor,1M,Digi-Key,0.02,0.53,17,,
33,RMCF0805JT1R00CT-ND,Stackpole Electronics Inc,RMCF0805JT1R00,"R66, R67, R91",3,Resistor,1R,Digi-Key,0.01,0.87,51,,
34,RMCF0805JT1K00CT-ND,Stackpole Electronics Inc,RMCF0805JT1K00,R76,1,Resistor,1k,Digi-Key,0.02,0.53,17,,
35,RMCF0805JT100KCT-ND,Stackpole Electronics Inc,RMCF0805JT100K,R77,1,Resistor,100k,Digi-Key,0.02,0.53,17,,
36,RMCF0805JT560RCT-ND,Stackpole Electronics Inc,RMCF0805JT560R,R78,1,Resistor,560,Digi-Key,0.02,0.53,17,,
37,RMCF0805FT49R9CT-ND,Stackpole Electronics Inc,RMCF0805FT49R9,"R83, R84, R85, R86",4,Resistor,49.9,Digi-Key,0.01,1.23,68,,
38,742C083270JPCT-ND,CTS Resistor Products,742C083270JPTR,"RA3, RA4, RA5, RA6, RA7, RA8, RA9, RA10, RA11, RA12, RA13, RA14, RA15",13,Resistor array,27,Digi-Key,0.01,3.57,221,,
39,742C083102JPCT-ND,CTS Resistor Products,742C083102JPTR,"RA16, RA19",2,Resistor array,1k,Digi-Key,0.01,0.7,34,,
40,742C083104JPCT-ND,CTS Resistor Products,742C083104JPTR,RA17,1,Resistor array,100k,Digi-Key,0.01,0.35,17,,
41,742C083683JPCT-ND,CTS Resistor Products,742C083683JPTR,RA18,1,Resistor array,68k,Digi-Key,0.01,0.35,17,,
42,742C083103JPCT-ND,CTS Resistor Products,742C083103JPTR,RA20,1,Resistor array,10k,Digi-Key,0.01,0.35,17,,
43,SW400-ND,Omron Electronics,B3F-1000,S1,1,Pushbutton,,Digi-Key,0.24,5.95,17,,
44,AT91SAM9G20B-CU-ND,Atmel,AT91SAM9G20B-CU,U1,1,Microcontroller,,Digi-Key,12.34,308.48,17,,
45,576-1619-ND,Micrel Inc,KSZ8041TL,U2,1,Ethernet transceiver,,Digi-Key,3.13,78.3,17,,
46,557-1191-1-ND,Micron Technology Inc,MT48LC16M16A2P-75 L:D TR,"U4, U5",2,SDRAM,,Digi-Key,10.89,544.5,34,,
47,296-17015-1-ND,Texas Instruments,TPS60500DGSR,"U6, U7",2,Step-down charge pump,,Digi-Key,2.16,108,34,,
48,296-21524-1-ND,Texas Instruments,TPS71710DCKR,U8,1,Low-dropout regulator,,Digi-Key,1.08,27,17,,
49,MX25L3205DM2I-12G,Macronix,MX25L3205DM2I-12G,U9,1,Serial flash,,Future Electronics,,,17,,
50,MC7805BDTGOS-ND,ON Semiconductor,MC7805BDTG,U10,1,Voltage regulator,,Digi-Key,0.48,12.04,17,,
51,535-10230-1-ND,Abracon Corporation,ABLS-18.432MHZ-B4-T,Y2,1,Crystal,18.432MHz,Digi-Key,0.36,8.95,17,,
52,631-1060-1-ND,Fox Electronics,FXO-HC735-50,Y3,1,Oscillator,50Mhz,Digi-Key,1.56,39,17,,
